Label (Grouping),Category,State,Estimate,Margin of Error,Percent,Percent Margin of Error,Year
        Private wage and salary workers,CLASS OF WORKER,Alabama,"1,709,396","±7,550",78.6%,±0.3,2021
        Government workers,CLASS OF WORKER,Alabama,"341,595","±5,953",15.7%,±0.3,2021
        Self-employed in own not incorporated business workers,CLASS OF WORKER,Alabama,"119,566","±3,331",5.5%,±0.1,2021
        Unpaid family workers,CLASS OF WORKER,Alabama,"3,040",±411,0.1%,±0.1,2021
INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Header,Alabama,,,,,2021
    Total households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"1,902,983","±5,852","1,902,983",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"140,205","±2,796",7.4%,±0.1,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"103,832","±2,627",5.5%,±0.1,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"195,229","±3,764",10.3%,±0.2,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"190,543","±3,566",10.0%,±0.2,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"246,704","±4,803",13.0%,±0.3,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"328,532","±4,451",17.3%,±0.2,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"230,067","±3,563",12.1%,±0.2,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"263,256","±3,740",13.8%,±0.2,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"106,617","±2,500",5.6%,±0.1,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"97,998","±2,204",5.1%,±0.1,2021
        Median household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"54,943",±377,(X),(X),2021
        Mean household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"76,150",±467,(X),(X),2021
        With earnings,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"1,375,103","±6,523",72.3%,±0.3,2021
            Mean earnings (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"79,228",±497,(X),(X),2021
        With Social Security,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"678,923","±4,231",35.7%,±0.2,2021
            Mean Social Security income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"20,557",±109,(X),(X),2021
        With retirement income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"461,124","±5,132",24.2%,±0.2,2021
            Mean retirement income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"26,010",±397,(X),(X),2021
        With Supplemental Security Income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"124,491","±2,911",6.5%,±0.2,2021
            Mean Supplemental Security Income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"10,250",±126,(X),(X),2021
        With cash public assistance income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"31,311","±1,601",1.6%,±0.1,2021
            Mean cash public assistance income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"2,948",±200,(X),(X),2021
With Food Stamp/SNAP benefits in the past 12 months,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"252,371","±3,383",13.3%,±0.2,2021
    Families,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"1,239,981","±6,765","1,239,981",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"52,966","±1,909",4.3%,±0.1,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"34,140","±1,352",2.8%,±0.1,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"84,921","±2,211",6.8%,±0.2,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"103,720","±2,714",8.4%,±0.2,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"151,179","±3,357",12.2%,±0.3,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"227,992","±3,833",18.4%,±0.3,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"179,462","±3,088",14.5%,±0.2,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"222,288","±3,427",17.9%,±0.3,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"95,714","±2,553",7.7%,±0.2,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"87,599","±2,116",7.1%,±0.2,2021
        Median family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"70,878",±522,(X),(X),2021
        Mean family income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"91,751",±602,(X),(X),2021
    Per capita income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"30,458",±190,(X),(X),2021
    Nonfamily households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"663,002","±6,180","663,002",(X),2021
        Median nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"30,500",±373,(X),(X),2021
        Mean nonfamily income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"44,580",±672,(X),(X),2021
    Median earnings for workers (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"33,894",±219,(X),(X),2021
"    Median earnings for male full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"52,944",±320,(X),(X),2021
"    Median earnings for female full-time, year-round workers (dollars)",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alabama,"39,279",±330,(X),(X),2021
HEALTH INSURANCE COVERAGE,Header,Alabama,,,,,2021
    Civilian noninstitutionalized population,HEALTH INSURANCE COVERAGE,Alabama,"4,920,010","±1,113","4,920,010",(X),2021
        With health insurance coverage,HEALTH INSURANCE COVERAGE,Alabama,"4,442,707","±8,203",90.3%,±0.2,2021
            With private health insurance,HEALTH INSURANCE COVERAGE,Alabama,"3,297,281","±15,687",67.0%,±0.3,2021
            With public coverage,HEALTH INSURANCE COVERAGE,Alabama,"1,822,388","±9,691",37.0%,±0.2,2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Alabama,"477,303","±8,010",9.7%,±0.2,2021
Civilian noninstitutionalized population under 19 years,HEALTH INSURANCE COVERAGE,Alabama,"1,190,423","±1,887","1,190,423",(X),2021
        No health insurance coverage,HEALTH INSURANCE COVERAGE,Alabama,"40,628","±2,325",3.4%,±0.2,2021
Civilian noninstitutionalized population 19 to 64 years,HEALTH INSURANCE COVERAGE,Alabama,"2,903,045","±2,111","2,903,045",(X),2021
        In labor force:,HEALTH INSURANCE COVERAGE,Alabama,"2,107,257","±7,598","2,107,257",(X),2021
            Employed:,HEALTH INSURANCE COVERAGE,Alabama,"1,996,271","±7,631","1,996,271",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Alabama,"1,754,332","±8,777",87.9%,±0.2,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Alabama,"1,686,492","±9,614",84.5%,±0.3,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Alabama,"128,381","±3,208",6.4%,±0.2,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Alabama,"241,939","±4,860",12.1%,±0.2,2021
            Unemployed:,HEALTH INSURANCE COVERAGE,Alabama,"110,986","±3,076","110,986",(X),2021
                With health insurance coverage,HEALTH INSURANCE COVERAGE,Alabama,"63,459","±2,362",57.2%,±1.4,2021
                    With private health insurance,HEALTH INSURANCE COVERAGE,Alabama,"42,852","±1,956",38.6%,±1.4,2021
                    With public coverage,HEALTH INSURANCE COVERAGE,Alabama,"24,940","±1,319",22.5%,±1.0,2021
                No health insurance coverage,HEALTH INSURANCE COVERAGE,Alabama,"47,527","±2,025",42.8%,±1.4,2021
        Not in labor force:,HEALTH INSURANCE COVERAGE,Alabama,"795,788","±7,093","795,788",(X),2021
            With health insurance coverage,HEALTH INSURANCE COVERAGE,Alabama,"652,340","±5,912",82.0%,±0.4,2021
                With private health insurance,HEALTH INSURANCE COVERAGE,Alabama,"399,978","±5,060",50.3%,±0.6,2021
                With public coverage,HEALTH INSURANCE COVERAGE,Alabama,"333,218","±5,165",41.9%,±0.5,2021
            No health insurance coverage,HEALTH INSURANCE COVERAGE,Alabama,"143,448","±3,870",18.0%,±0.4,2021
PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Header,Alabama,,,,,2021
    All families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),11.4%,±0.2,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),18.5%,±0.5,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),19.2%,±1.1,2021
        Married couple families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),5.1%,±0.2,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),6.8%,±0.4,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),6.8%,±0.9,2021
"        Families with female householder, no spouse present",PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),31.7%,±0.9,2021
With related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),43.1%,±1.2,2021
With related children of the householder under 5 years only,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),48.0%,±2.9,2021
    All people,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),15.8%,±0.3,2021
Under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),22.3%,±0.6,2021
Related children of the householder under 18 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),22.0%,±0.6,2021
Related children of the householder under 5 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),25.4%,±0.8,2021
Related children of the householder 5 to 17 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),20.8%,±0.6,2021
18 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),13.9%,±0.2,2021
18 to 64 years,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),14.8%,±0.2,2021
65 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),10.5%,±0.3,2021
        People in families,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),12.7%,±0.3,2021
Unrelated individuals 15 years and over,PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL,Alabama,(X),(X),29.5%,±0.4,2021
EMPLOYMENT STATUS,Header,Alaska,,,,,2021
Population 16 years and over,EMPLOYMENT STATUS,Alaska,"572,165",±495,"572,165",(X),2021
        In labor force,EMPLOYMENT STATUS,Alaska,"383,795","±2,081",67.1%,±0.4,2021
            Civilian labor force,EMPLOYMENT STATUS,Alaska,"363,718","±2,386",63.6%,±0.4,2021
                Employed,EMPLOYMENT STATUS,Alaska,"338,664","±2,500",59.2%,±0.4,2021
                Unemployed,EMPLOYMENT STATUS,Alaska,"25,054","±1,280",4.4%,±0.2,2021
            Armed Forces,EMPLOYMENT STATUS,Alaska,"20,077",±931,3.5%,±0.2,2021
        Not in labor force,EMPLOYMENT STATUS,Alaska,"188,370","±2,102",32.9%,±0.4,2021
    Civilian labor force,EMPLOYMENT STATUS,Alaska,"363,718","±2,386","363,718",(X),2021
        Unemployment Rate,EMPLOYMENT STATUS,Alaska,(X),(X),6.9%,±0.3,2021
Females 16 years and over,EMPLOYMENT STATUS,Alaska,"271,261",±532,"271,261",(X),2021
        In labor force,EMPLOYMENT STATUS,Alaska,"171,476","±1,534",63.2%,±0.6,2021
            Civilian labor force,EMPLOYMENT STATUS,Alaska,"168,912","±1,564",62.3%,±0.6,2021
                Employed,EMPLOYMENT STATUS,Alaska,"158,655","±1,591",58.5%,±0.6,2021
Own children of the householder under 6 years,EMPLOYMENT STATUS,Alaska,"59,594",±799,"59,594",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Alaska,"35,661","±1,172",59.8%,±1.8,2021
Own children of the householder 6 to 17 years,EMPLOYMENT STATUS,Alaska,"112,346","±1,024","112,346",(X),2021
        All parents in family in labor force,EMPLOYMENT STATUS,Alaska,"77,052","±1,672",68.6%,±1.3,2021
COMMUTING TO WORK,Header,Alaska,,,,,2021
Workers 16 years and over,COMMUTING TO WORK,Alaska,"349,920","±2,231","349,920",(X),2021
"        Car, truck, or van -- drove alone",COMMUTING TO WORK,Alaska,"236,167","±2,361",67.5%,±0.6,2021
"        Car, truck, or van -- carpooled",COMMUTING TO WORK,Alaska,"41,473","±1,922",11.9%,±0.5,2021
        Public transportation (excluding taxicab),COMMUTING TO WORK,Alaska,"4,139",±656,1.2%,±0.2,2021
        Walked,COMMUTING TO WORK,Alaska,"25,805","±1,163",7.4%,±0.3,2021
        Other means,COMMUTING TO WORK,Alaska,"17,514",±823,5.0%,±0.2,2021
        Worked from home,COMMUTING TO WORK,Alaska,"24,822","±1,372",7.1%,±0.4,2021
        Mean travel time to work (minutes),COMMUTING TO WORK,Alaska,19.5,±0.3,(X),(X),2021
OCCUPATION,Header,Alaska,,,,,2021
Civilian employed population 16 years and over,OCCUPATION,Alaska,"338,664","±2,500","338,664",(X),2021
"        Management, business, science, and arts occupations",OCCUPATION,Alaska,"130,394","±2,358",38.5%,±0.6,2021
        Service occupations,OCCUPATION,Alaska,"60,695","±1,966",17.9%,±0.6,2021
        Sales and office occupations,OCCUPATION,Alaska,"68,137","±1,962",20.1%,±0.5,2021
"        Natural resources, construction, and maintenance occupations",OCCUPATION,Alaska,"38,377","±1,638",11.3%,±0.5,2021
"        Production, transportation, and material moving occupations",OCCUPATION,Alaska,"41,061","±1,200",12.1%,±0.4,2021
INDUSTRY,Header,Alaska,,,,,2021
Civilian employed population 16 years and over,INDUSTRY,Alaska,"338,664","±2,500","338,664",(X),2021
"        Agriculture, forestry, fishing and hunting, and mining",INDUSTRY,Alaska,"15,249",±770,4.5%,±0.2,2021
        Construction,INDUSTRY,Alaska,"23,294","±1,204",6.9%,±0.4,2021
        Manufacturing,INDUSTRY,Alaska,"12,912","±1,059",3.8%,±0.3,2021
        Wholesale trade,INDUSTRY,Alaska,"5,469",±514,1.6%,±0.2,2021
        Retail trade,INDUSTRY,Alaska,"35,089","±1,356",10.4%,±0.4,2021
"        Transportation and warehousing, and utilities",INDUSTRY,Alaska,"31,148","±1,418",9.2%,±0.4,2021
        Information,INDUSTRY,Alaska,"6,193",±679,1.8%,±0.2,2021
"        Finance and insurance, and real estate and rental and leasing",INDUSTRY,Alaska,"13,301","±1,052",3.9%,±0.3,2021
"        Professional, scientific, and management, and administrative and waste management services",INDUSTRY,Alaska,"28,511","±1,326",8.4%,±0.4,2021
"        Educational services, and health care and social assistance",INDUSTRY,Alaska,"82,454","±1,999",24.3%,±0.6,2021
"        Arts, entertainment, and recreation, and accommodation and food services",INDUSTRY,Alaska,"30,951","±1,524",9.1%,±0.4,2021
"        Other services, except public administration",INDUSTRY,Alaska,"14,975",±928,4.4%,±0.3,2021
        Public administration,INDUSTRY,Alaska,"39,118","±1,705",11.6%,±0.5,2021
CLASS OF WORKER,Header,Alaska,,,,,2021
Civilian employed population 16 years and over,CLASS OF WORKER,Alaska,"338,664","±2,500","338,664",(X),2021
        Private wage and salary workers,CLASS OF WORKER,Alaska,"228,130","±2,906",67.4%,±0.7,2021
        Government workers,CLASS OF WORKER,Alaska,"87,522","±2,563",25.8%,±0.7,2021
        Self-employed in own not incorporated business workers,CLASS OF WORKER,Alaska,"22,208",±897,6.6%,±0.3,2021
        Unpaid family workers,CLASS OF WORKER,Alaska,804,±206,0.2%,±0.1,2021
INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Header,Alaska,,,,,2021
    Total households,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"260,561","±1,334","260,561",(X),2021
"Less than $10,000",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"10,644",±756,4.1%,±0.3,2021
"$10,000 to $14,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"7,170",±629,2.8%,±0.2,2021
"$15,000 to $24,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"16,136",±841,6.2%,±0.3,2021
"$25,000 to $34,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"16,199",±861,6.2%,±0.3,2021
"$35,000 to $49,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"25,525","±1,048",9.8%,±0.4,2021
"$50,000 to $74,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"45,925","±1,526",17.6%,±0.6,2021
"$75,000 to $99,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"35,821","±1,420",13.7%,±0.5,2021
"$100,000 to $149,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"50,022","±1,697",19.2%,±0.7,2021
"$150,000 to $199,999",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"26,172",±911,10.0%,±0.3,2021
"$200,000 or more",INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"26,947",±945,10.3%,±0.4,2021
        Median household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"80,287","±1,113",(X),(X),2021
        Mean household income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"103,258","±1,045",(X),(X),2021
        With earnings,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"215,454","±1,515",82.7%,±0.5,2021
            Mean earnings (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"99,164","±1,104",(X),(X),2021
        With Social Security,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"63,037","±1,206",24.2%,±0.5,2021
            Mean Social Security income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"18,709",±322,(X),(X),2021
        With retirement income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"59,385","±1,363",22.8%,±0.5,2021
            Mean retirement income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"38,709","±1,751",(X),(X),2021
        With Supplemental Security Income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"11,792",±776,4.5%,±0.3,2021
            Mean Supplemental Security Income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"10,902",±414,(X),(X),2021
        With cash public assistance income,INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"16,573",±840,6.4%,±0.3,2021
            Mean cash public assistance income (dollars),INCOME AND BENEFITS (IN 2021 INFLATION-ADJUSTED DOLLARS),Alaska,"4,064",±206,(X),(X),2021
