varname,vardesc,years_asked
gwvoteimpOppose,Estimated percentage who do not say global warming should be a high priority for the next president and Congress,"2020, 2022, 2023"
happening,Estimated percentage who think that global warming is happening,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
happeningOppose,Estimated percentage who do not think that global warming is happening,"2014, 2016, 2018, 2019, 2020, 2021, 2022, 2023"
harmplants,Estimated percentage who think global warming will harm plants and animal species a moderate amount/a great deal,"2016, 2018, 2019, 2020, 2021, 2022, 2023"
harmplantsOppose,Estimated percentage who think global warming will harm plants and animal species not at all/only a little,"2016, 2018, 2019, 2020, 2021, 2022, 2023"
harmus,Estimated percentage who think global warming will harm people in the US a moderate amount/a great deal,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
harmusOppose,Estimated percentage who think global warming will harm people in the US not at all/only a little,"2014, 2016, 2018, 2019, 2020, 2021, 2022, 2023"
human,Estimated percentage who think that global warming is caused mostly by human activities,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
humanOppose,Estimated percentage who think that global warming is caused mostly by natural changes in the environment,"2014, 2016, 2018, 2019, 2020, 2021, 2022, 2023"
important,Estimated percentage who think global warming is very or extremely important,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020"
localofficials,Estimated percentage who think their local officials should be doing more/much more to address global warming,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
localofficialsOppose,Estimated percentage who think their local officials should be doing less/much less to address global warming,"2018, 2019, 2020, 2021, 2022, 2023"
mediaweekly,Estimated percentage who hear about global warming in the media at least weekly,"2016, 2018, 2019, 2020, 2021, 2022, 2023"
mediaweeklyOppose,Estimated percentage who hear about global warming in the media several times a year or less often,"2016, 2018, 2019, 2020, 2021, 2022, 2023"
personal,Estimated percentage who think global warming will harm them personally a moderate amount/a great deal,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
personalOppose,Estimated percentage who think global warming will harm them personally not at all/only a little,"2014, 2016, 2018, 2019, 2020, 2021, 2022, 2023"
president,Estimated percentage who think the President themselves should be doing more/much more to address global warming,"2019, 2020, 2021, 2022, 2023"
presidentOppose,Estimated percentage who think the President themselves should be doing less/much less to address global warming,"2019, 2020, 2021, 2022, 2023"
prienv,"Estimated percentage who think protecting the environment is more important than economic growth, even if it reduces economic growth","2018, 2019"
prienvOppose,"Estimated percentage who think economic growth is more important than protecting the environment, even if it leads to environmental problems","2018, 2019"
priority,Estimated percentage who say a candidate's views on GW are important to their vote,"2020, 2021, 2022, 2023"
priorityOppose,Estimated percentage who do not say a candidate's views on GW are important to their vote,"2020, 2021, 2022, 2023"
prioritycleanenergy,Estimated percentage who say developing sources of clean energy should be a high or very high priority for the president and Congress,"2022, 2023"
prioritycleanenergyOppose,Estimated percentage who say developing sources of clean energy should be a low for the president and Congress,"2022, 2023"
rebates,Estimated percentage who somewhat/strongly support providing tax rebates for people who purchase energy-efficient vehicles or solar panels,"2018, 2019, 2020, 2021, 2022, 2023"
rebatesOppose,Estimated percentage who somewhat/strongly oppose providing tax rebates for people who purchase energy-efficient vehicles or solar panels,"2018, 2019, 2020, 2021, 2022, 2023"
reducetax,Estimated percentage who somewhat/strongly support requiring fossil fuel companies to pay a carbon tax and use the money to reduce other taxes (such as income tax) by an equal amount,"2018, 2019, 2020, 2021, 2022, 2023"
reducetaxOppose,Estimated percentage who somewhat/strongly oppose requiring fossil fuel companies to pay a carbon tax and use the money to reduce other taxes (such as income tax) by an equal amount,"2018, 2019, 2020, 2021, 2022, 2023"
regulate,Estimated percentage who somewhat/strongly support regulating CO2 as a pollutant,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
regulateOppose,Estimated percentage who somewhat/strongly oppose regulating CO2 as a pollutant,"2014, 2016, 2018, 2019, 2020, 2021, 2022, 2023"
supportrps,Estimated percentage who somewhat/strongly support requiring utilities to produce 20% electricity from renewable sources,"2014, 2016, 2018, 2019, 2020, 2021"
supportrpsOppose,Estimated percentage who somewhat/strongly oppose requiring utilities to produce 20% electricity from renewable sources,"2014, 2016, 2018, 2019, 2020, 2021"
taxdividend,Estimated percentage who somewhat/strongly support a carbon tax if refunded to every American household ,2014
taxdividendOppose,Estimated percentage who somewhat/strongly oppose a carbon tax if refunded to every American household ,2014
teachgw,"Estimated percentage who somewhat/strongly agree that schools should teach about the causes, consequences, and potential solutions to global warming","2016, 2018, 2019, 2020, 2021, 2022, 2023"
teachgwOppose,"Estimated percentage who somewhat/strongly disagree that schools should teach about the causes, consequences, and potential solutions to global warming","2016, 2018, 2019, 2020, 2021, 2022, 2023"
timing,Estimated percentage who think global warming will start to harm people in the United now/within 10 years,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
timingOppose,"Estimated percentage who think global warming will start to harm people in the United in 25 years or longer, or never","2014, 2016, 2018, 2019, 2020, 2021, 2022, 2023"
trustclimscisst,Estimated percentage who somewhat or strongly trust climate scientists as a source of information about global warming,2016
trustclimscisstOppose,Estimated percentage who somewhat or strongly distrust climate scientists as a source of information about global warming,2016
worried,Estimated percentage who are somewhat/very worried about global warming,"2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023"
worriedOppose,Estimated percentage who are not very/not at all worried about global warming,"2014, 2016, 2018, 2019, 2020, 2021, 2022, 2023"
